15 Famous WTA Players-Grid view
Name,Profile,Best shots,Rank,Nationality,Birthplace,Birthday,Height(cm),Weight(kg),Play Hand,Pro Status,Win-Loss,Career Achievements,Head to Head
Serena Williams,"Serena-Williams_-4th-Round-Match-2016--10.jpg (https://dl.airtable.com/OLu201PZQceABttZyDdp_Serena-Williams_-4th-Round-Match-2016--10.jpg),serena31.jpg (https://dl.airtable.com/6FzAtVQuRSSTqyH8Czcv_serena31.jpg)",https://www.youtube.com/embed/o3dJGVSQXuU,16,🇺🇸U.S.A.,"Saginaw, MI, USA",26/09/81,175,70,Right hand,1995,Serena Williams,Serena Williams,Serena Williams
Venus Williams,"Venus-Williams.jpg (https://dl.airtable.com/2o7EJfxqSs6BPC7evnor_Venus-Williams.jpg),ct-venus-williams-wimbledon-car-crash-20170703.jpg (https://dl.airtable.com/rnSQ6401ROubXPOATf0p_ct-venus-williams-wimbledon-car-crash-20170703.jpg)",https://www.youtube.com/embed/9GA_fO2iPNQ,40,🇺🇸U.S.A.,"Lynwood, CA, USA",17/06/80,185,72,Right hand,1994,Venus Williams,Venus Williams,Venus Williams
Maria Sharapova,"螢幕快照 2018-09-29 下午7.45.37.png (https://dl.airtable.com/H0QFuF2qShWgjSdUhgwk_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.45.37.png),maria sharapova.jpg (https://dl.airtable.com/caM75vkaTLGFhtvQvkL7_maria%20sharapova.jpg)",https://www.youtube.com/embed/ZRQhHX0CGlM,29,🇷🇺Russia,"Nyagan, Russia",19/04/87,188,59,Right hand,2001,Maria Sharapova,Maria Sharapova,Maria Sharapova
Angelique Kerber,"螢幕快照 2018-09-29 下午6.58.45.png (https://dl.airtable.com/u7qhnJQkSfGElJkMDzVe_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%886.58.45.png),ANGELIQUE_KERBER.jpg (https://dl.airtable.com/UoauMTwTnyRSbn4Z8uiT_ANGELIQUE_KERBER.jpg)",https://www.youtube.com/embed/mg-oPGOw8Ds,3,🇩🇪Germany,"Bremen, Germany",18/01/88,173,68,Left hand,2003,Angelique Kerber,Angelique Kerber,Angelique Kerber
Victoria Azarenka,"螢幕快照 2018-09-29 下午7.18.20.png (https://dl.airtable.com/rNlNqhtcRwWKbxDUQ8RY_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.18.20.png),victoria-azarenka_st6o7k5lbogo1arpestw1klmz.jpg (https://dl.airtable.com/gSN3BianRtmpknqU9Osw_victoria-azarenka_st6o7k5lbogo1arpestw1klmz.jpg)",https://www.youtube.com/embed/oyBGtUfQQQA,53,🇧🇾Belarus,"Minsk, Belarus",31/07/89,183,70,Right hand,2003,Victoria Azarenka,Victoria Azarenka,Victoria Azarenka
Garbiñe Muguruza,"螢幕快照 2018-09-29 下午7.20.06.png (https://dl.airtable.com/1B7BmQVO1vl4pWcZRgBj_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.20.06.png),gettyimages-835551450_0.jpg (https://dl.airtable.com/xXQf5xSzSk89tAmamAQt_gettyimages-835551450_0.jpg)",https://www.youtube.com/embed/eEm0StrDSU8,14,🇪🇸Spain,"Caracas, Venezuela",08/10/93,182,73,Right hand,2011,Garbiñe Muguruza,Garbiñe Muguruza,Garbiñe Muguruza
Petra Kvitova,"螢幕快照 2018-09-29 下午7.24.05.png (https://dl.airtable.com/uUc1LQGcQdmaihFHeo7O_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.24.05.png),petra-kvitova-wallpaper-8.jpg (https://dl.airtable.com/JvpLaAccRV2t1NffJeEf_petra-kvitova-wallpaper-8.jpg)",https://www.youtube.com/embed/uCA_ta1NT_c,5,🇨🇿Czech,"Bilovec, Czech Republic",08/03/90,182,70,Left hand,2006,Petra Kvitova,Petra Kvitova,Petra Kvitova
Svetlana Kuznetsova,"螢幕快照 2018-09-29 下午7.36.28.png (https://dl.airtable.com/AKe7TyYYToqiD9xgvSat_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.36.28.png),Svetlana-Kuznetsova.jpg (https://dl.airtable.com/mZWX07TGGNEHIsntjuHg_Svetlana-Kuznetsova.jpg)",https://www.youtube.com/embed/pAXnFwvaCw0,105,🇷🇺Russia,"St. Petersburg, Russia",27/06/85,174,73,Right hand,2000,Svetlana Kuznetsova,Svetlana Kuznetsova,Petra Kvitova
Caroline Wozniacki,"螢幕快照 2018-09-29 下午7.38.24.png (https://dl.airtable.com/FH9JibQPmb2eKWSHqcUw_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.38.24.png),gettyimages-830252070.jpg (https://dl.airtable.com/mQlsS1QKRxa8sUZPcDSu_gettyimages-830252070.jpg)",https://www.youtube.com/embed/HoNr5MNlyjY,2,🇩🇰Denmark,"Odense, Denmark",11/07/90,177,63,Right hand,2005,Caroline Wozniacki,Caroline Wozniacki,Caroline Wozniacki
Simona Halep,"螢幕快照 2018-09-29 下午7.48.11.png (https://dl.airtable.com/kJx9AqpHTbWFqmB5ZINE_%E8%9E%A2%E5%B9%95%E5%BF%AB%E7%85%A7%202018-09-29%20%E4%B8%8B%E5%8D%887.48.11.png),simona-halep-2.jpg (https://dl.airtable.com/VXNsGKQaRoysrPZruuLA_simona-halep-2.jpg)",https://www.youtube.com/embed/MYAzXaxGMQk,1,🇷🇴Romania,"Constanta, Romania",27/09/91,168,60,Right hand,2006,Simona Halep,Simona Halep,Simona Halep
